label,tweet_id,tweet_text
#biden,1.38E+18,"As #███████’s #███████ meets #███████, #███████ is the elephant in the room 

https://t.co/iTqydjEBBr via @AJEnglish #███████ #███████ #███████NuclearWater @POTUS @GavinNewsom @HealTheBay @WHO @CleanWater4Nwk @NHKWORLD_News @PressSec"
#biden,1.38E+18,"@GordonGChang Wow, love to how #███████ and #███████ could pounds# #███████ into the ground to scare #███████!GC is the greatest loud mouth and war monger..war is always the simple answer?You are so naive that war will not be in US soil?How do you stop this?Really?! https://t.co/pxU9j5Rhn4"
#biden,1.38E+18,"US slaps new sanctions on Russia, including debt bans

https://t.co/E1MFaNkZfW

follow #███████  everyday @bneintellinews

back issues &amp; sign up here:
https://t.co/gfLReoVIVj

#███████ #███████ #███████ #███████ #███████ #███████ #███████ https://t.co/jaYyvG4Awx"
#biden,1.38E+18,"Infrastructure. Of all the things Americans argue about politically, polls show this isn't one -- and wasn't when Trump was POTUS. Is it the great uniter? #███████ #███████ https://t.co/V1GoaGfcbZ https://t.co/2kY2LUBSH7"
#biden,1.38E+18,Plz watch my two cents on the future of #███████ after #███████'s announcement of #███████ tonight on #███████ at 10.05pm PST with #███████. #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ https://t.co/wIIGV3hoq1
#biden,1.38E+18,"Morgan Stanley had $911 million in first-quarter losses tied to Archegos fund meltdown
#███████ #███████ #███████ #███████ #███████ #███████
#███████ #███████ #███████investing #███████markets #███████global #███████ #███████ #███████...
https://t.co/I8iJdOvp2n"
#stopasianhate,1.38E+18,"A white teenager, Jacob Alan Wright, murdered a 44 year old Asian woman, Jia Jia, and her 8 year old daughter, Ruby Meng. And as expected-  nobody is talking about it. Retweet this. Spread this. 
#███████ https://t.co/gvL07hSHGV"
#stopasianhate,1.38E+18,Today we've got a very poignant article on what it really means to #███████ in Canada.https://t.co/fETH8iOVAy https://t.co/8cR2e09564
#stopasianhate,1.38E+18,"@suckmydick_jack @MrAndyNgo @suckmydick_jack be like: ""Imma just eat this pizza in my mommy's basement while I tweet about how much I hate Asians who don't share my views, &amp; tomorrow I'm gonna get out of the basement for the first time in months to attend a #███████ protest 'cuz peoplw are so racist."" https://t.co/1scNvQ1TN5"
#china,1.38E+18,"Yves Smith's (@yvessmith) commentary on the @INETeconomics article ""How #███████ Is Offering an Alternative to the #███████"" by @cpc01.

https://t.co/Uj2jMiJkZN"
#china,1.38E+18,Why the U.S. and China Should Collaborate in Space https://t.co/skg1sRbWJc #███████ #███████ #███████ #███████
#china,1.38E+18,"@michaelgwaltz The 2022 Beijing Olympic Games will be more than just a worldwide sporting event, it will be a show of communist #███████'s propaganda, just like the 1936 Nazi Munich Olympics. Don't let #███████ get what it wants! https://t.co/P4nNk69cZr"
#biden,1.38E+18,"EA on @Monocle24: Is US Abandoning #███████'s People? (@ScottLucas_EA w @Andrew_Mueller) 

https://t.co/r6dU0fSB99

#███████ https://t.co/gyiJxHNosu"
#biden,1.38E+18,"#███████ #███████Remorse #███████BorderCrisis

Rep. Steve Scalise to Newsmax TV: Biden's Border 'National Disgrace' | https://t.co/QJR52ZLUdV https://t.co/sCSlzpc7Xy via @Newsmax"
#covid,1.38E+18,?? Liberal Biden halting Raw Material supplies for #███████ vaccines! All those who were celebrating Biden Raj can now see what’s happening. https://t.co/anbhaflqpX https://t.co/USWWZBD0bB
#covid,1.38E+18,"Liberal Biden halting Raw Material supplies for #███████ vaccines! 
All those who were celebrating Biden Raj can now see what's happening. https://t.co/MtggiEMdPr"
#biden,1.38E+18,"My fav

Maybe you should look at how you're treating me b4 you BITCH about how I react to it

The #███████ - some ppl think I'll accept the unacceptable is an insult in itself

They lost self-esteem long ago &amp; they blame my ego

#███████

#███████ #███████ #███████ #███████ #███████s https://t.co/E5kQEgPehK"
#biden,1.38E+18,"Joe #███████ Is No “Radical” Progressive Hero
""The press is building an image of a ""radical"" progressive hero, while reality looks like the same corporate Democrat.""
@mtaibbi 
https://t.co/B8rnSD6uEj
#███████ #███████ #███████ #███████ #███████"
#biden,1.38E+18,"Dear #███████,

If #███████ is so great, then why haven’t I received my state-appointed boyfriend yet?

He’s not keeping his campaign promises. #███████"
#biden,1.38E+18,"@DrSasa22222 Pls ASEAN,The 54 million peoples of Myanmar will hate ASEAN if you invite to the Junta's Leader to attend ASEAN submit instead of NUG/DASSK.#███████,#███████,#███████,#███████,#███████ #███████,#███████,#███████,#███████,#███████,#███████VietNam,#███████,#███████"
#biden,1.38E+18,"SUGA SAYS JAPAN APPRECIATES THE BIDEN-HARRIS ADMINISTRATION, WHICH PLACES IMPORTANCE ON COOPERATING WITH ALLIES #███████ #███████ #███████ #███████"
#biden,1.38E+18,I didn't hear a peep out of you about #███████ need for $800B+ for the American Empire killing machine. https://t.co/EaRFKndpko
#biden,1.38E+18,2021 covid-19 biden police  shooting vaccine out covid indianapolis fedex. 2021 #███████-19 #███████ #███████ # #███████ #███████ #███████ #███████ #███████ #███████
#vaccine,1.38E+18,Edmonton-based @entospharma began Phase 1 of its #███████ for a made-in-Canada #███████ vaccine at the Canadian Center for Vaccinology @VACCres in Nova Scotia. https://t.co/9LfgDyCw4s #███████ #███████ #███████ #███████
#vaccine,1.38E+18,"Queensbury Aviation Mall
**Former Kodak Hawkeye Parking Lot
SUNY Stony Brook
SUNY Rockland Community College
State Fair Expo Center: NYS Fairgrounds
SUNY Polytechnic Institute
**New York National Guard Armory
https://t.co/3ik10TYj1K
#███████ #███████"
#vaccine,1.38E+18,"**Delavan Grider Community Center
University at Buffalo South Campus
SUNY Corning Community College
Rochester Dome Arena
SUNY Orange
Javits Center
The Conference Center Niagara Falls
SUNY Potsdam
Aqueduct Racetrack
https://t.co/3ik10TYj1K
#███████ #███████"
#vaccine,1.38E+18,"As of 4/16/2021, 11:14:10 AM, the following locations have appointments available:
(** denotes locations restricted by residency)
**Washington Avenue Armory
Bronx
**Medgar Evers College
**York College
https://t.co/3ik10TYj1K
#███████ #███████"
#vaccine,1.38E+18,"Got the second Moderna shot yesterday. All morning I've been saying ""Man, what is happening? My brain is this mysterious fog."" It took @BirdOnOrchard to point out the obvious: Dude, that's just fatigue. It's normal. Be quiet. #███████ #███████ #███████ #███████"
#china,1.38E+18,"Coronavirus: Sewers overflow as people use wet wipes, tissues and paper towels https://t.co/J1eHqZhqOe via @GNGAgritech 
#███████ #███████ #███████ #███████-19 #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████"
#china,1.38E+18,#███████ profit soars as #███████ drives recovery via @RTENews https://t.co/ib0Z6DQOlb
#china,1.38E+18,"Economic bubbles, climate change, rising debt and negative interest rates, combine to create the perfect storm, the next global recession. #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ https://t.co/UCey2yRyzY"
#china,1.38E+18,"For a wiser approach to US-China relations and a much needed focus on economic recovery of international trade -- rather than ""cold war"" mindset https://t.co/Z1QB86T89U
@mahbubani_k
#███████ #███████ #███████"
#china,1.38E+18,#███████ action between #███████ and #███████. Day One finishes 1-1. @ArantxaRusNews #███████ @kikibertens @XinyuWang @WTA @GettySport https://t.co/8Z6MyJsgkM
#stopasianhate,1.38E+18,"Yesterday our neighbor screamed some slurs at us and asked how we liked our racism. 
So I have to get a little louder in saying
#███████????????? and #███████ ?? since people still don't get it!
#███████
#███████
#███████"
#stopasianhate,1.38E+18,"The #███████-#███████-Supporting Wing of the #███████ ""party"" continues to show us who they are. #███████ #███████ https://t.co/6ISu0YEfuP"
#biden,1.38E+18,@nytimes It's refreshing to have a president who cares about our people again. #███████
#biden,1.38E+18,"18 MEDIA CONFIRMATIONS UNTIL APRIL 15, 2021 OF THE #███████/ #███████ PREDICTIONS IN THE #███████ : #███████’s Government. #███████ against #███████. Clairvoyant/Psychic predictions for USA and the World year 2021 – 2024 through the eyes of : #███████,… https://t.co/9k2xdnLqQi"
#stopasianhate,1.38E+18,@aritanculture @lalisaslowly @eyeluvmimi It’s concerning your obsession to drag others women with their appearance. Your favs are trying to spread #███████ but you fail everytime and you are the one who start this shit.
#china,1.38E+18,"#███████ #███████  ?@staceyabrams? Is On The Board Of A Group - ?@amprog? - That Collaborates With The #███████. ?@TheDemocrats’? Stacey Abrams is working with America’s biggest, most dangerous enemy, #███████, &amp; is supporting #███████.  https://t.co/etDIPDG8W1"
#china,1.38E+18,"@StateDept &amp; All You Had To Do Is Drop 2 Nuclear Bombs On Them &amp; Pressure Their Last Prime Minister To Buy More Of Your #███████ So #███████ Isn't The Majority Owner Of Your Debt.
Maybe You Should Try More #███████ &amp; Less #███████ &amp; #███████Crimes To Forge Your Alliances."
#china,1.38E+18,"@globaltimesnews #███████ will focus on distraction propaganda lies deceit. It will ban #███████, kill torture #███████ #███████ then release #███████. While everyone’s attention will be diverted virus etc deaths will not be reported. #███████ will benefit This will cause less pain Hail #███████ https://t.co/m2bXtUIgIO"
#china,1.38E+18,"@lrozen Officials who talk to newspapers may not be those w up-to-date intel. Out-of-date intel can also have real world consequences, like US bombing #███████ embassy in Belgrade, based on old map...official Israel is obsessed w projecting total confidence &amp; control.Reality different."
#stopasianhate,1.38E+18,Register and Learn More about the Shepard Symposium here: https://t.co/zWytuwT0X9 #███████ #███████ #███████
#stopasianhate,1.38E+18,"@OnlyHotGuy1 @GudelZilv @GudelZilv : zilv does not deserve a nomination for any award. He's a racist, despises the color of his skin, drives people to suicide. He racists Asians #███████"
#china,1.38E+18,"China's GDP grew +18.3% year-over-year in the first quarter, though off a low base from 2020. Meanwhile, retail sales jumped +34.2% over the period, smashing estimates.
https://t.co/CmCzFREcaQ

#███████ #███████ #███████ https://t.co/unpeF1LjQw"
#vaccine,1.38E+18,"New videos to support people with severe mental illness (SMI) get their #███████ #███████ and advice for primary care professionals that support people with SMI are available here: https://t.co/yQfYxkOtpx 
@PHE_uk @EquallyWellUK @NHSEngland @dremmatiffin @wendyburn @CoProNorfolk https://t.co/O3crJywvkD"
#vaccine,1.38E+18,"@JoshMatlow Just received your newsletter. RE  #███████ can you please give an update to opening a clinic in midtown in our neighbourhood? If I call around to find a space, will you work with me to arrange it? @TOPublicHealth @joe_cressy @JohnTory @TinaYazdani @epdevilla #███████"
#vaccine,1.38E+18,First stick done! ???????? Grateful for the hard working humans at @VAPugetSound for getting #███████ squared away with the #███████ while providing a friendly and easy experience. Thank you for YOUR service. ??????????
#vaccine,1.38E+18,"@TO_Resident @drmwarner @ONgov At 54, I am one year outside the #███████ AZ eligibility. I am at an astronomically greater risk of a #███████ blood clot than one from the AZ #███████. It is really important I do not contract Covid. I could have had an immunization appointment today ... gimmee."
#vaccine,1.38E+18,"My question was rhetorical. Of course there’s a reasonable explanation for risk of blood clots with BC. Pt is, whole brands of the #███████ are being put on hold for 1 in 1M risk of clots when the pill is like 1 in 10K. We treat that as acceptable b/c it’s women’s bodies at risk."
#vaccine,1.38E+18,"Good news #███████ #███████. #███████ 
https://t.co/TyUw39Giwd"
#vaccine,1.38E+18,More opportunities to get your #███████ #███████. ?????? https://t.co/zcCJJxhqkW
#stopasianhate,1.38E+18,@fIavoredasian I think whats most frustrating is his entitlement. People need to stop acting like they can just get away with it. #███████
#covid,1.38E+18,"Starting Monday, everyone in the state age 16 and older is eligible to receive a #███████-19 vaccination.

If you haven't yet, you can check out the vaccine preregistration, where the state will contact you and help set you up for your first shot. https://t.co/fxUAHZ08EQ"
#vaccine,1.38E+18,@dwnews #███████ ??? That’s the worst #███████ available in the World!!!
#vaccine,1.38E+18,"?? Member News via @FTIConsulting: ""Ask the Expert: Can #███████ Providers Be Trusted to Safeguard Our Identities?""
??https://t.co/OjrR9mnfOr https://t.co/nc97bvn3Rn"
#vaccine,1.38E+18,"Third dose of Pfizer #███████-19 #███████ 'likely' needed.

#███████ CEO #███████ also says annual #███████ against the #███████ may well be required

Vía @AFP
https://t.co/oBkKAJbbea https://t.co/2rm57DpuUz"
#vaccine,1.38E+18,"If you live in #███████, https://t.co/z8nu6r5ddJ just sent out an email saying #███████ appointments are available!"
#vaccine,1.38E+18,Got my second #███████ #███████! ???? #███████ #███████
#covid,1.38E+18,"Accurate, timely testing is crucial to patient care, especially in a post #███████ landscape. Has the pandemic changed the way we 
plan the laboratory of the future? https://t.co/qG3pqD0hQt https://t.co/T60c76X4oH"
#covid,1.38E+18,"""#███████ #███████"" #███████ (#███████, #███████) MD or more fittingly, #███████ #███████, #███████ #███████, #███████, #███████, etc....

https://t.co/OQcvvKMD0o

#███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ 19 #███████ https://t.co/fdy8eVlS8c"
#covid,1.38E+18,"Are you interested to learn and teach your children the American history of people of color?
Don't forget to follow and subscribe to our YouTube channel!
https://t.co/yTxqzkOMxA
#███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ https://t.co/SyKhaOqKI8"
#covid,1.38E+18,Order Takeaway Online Now Get 20% Off At Dudley Spice https://t.co/I7oE8Cu8U3 #███████ #███████ #███████ #███████porn #███████ie #███████ #███████ #███████ #███████stagram  #███████ #███████lover #███████food #███████ #███████ #███████  #███████  #███████ #███████ies #███████ https://t.co/3USjLMvbBt
#covid,1.38E+18,"@OwnBackup @MichaelJFoxOrg Session at #███████! Pivoting during COVID: Canadian Cancer Society’s (CCS) Creative Use of Salesforce with @TeamHeller.
Hear how CCS launch a nationwide enterprise platform to empower fundraising staff. 
https://t.co/FrafcTDiZr
#███████ #███████ #███████ https://t.co/W6GOk6qdaH"
#covid,1.38E+18,"This is not a plan. 

To get Canadians back to work requires a #███████ free Canada. To achieve that, Canadians need to follow real experts @DrLiMengYAN1 and @LawrenceSellin to interpret the #███████ and trace the the #███████. https://t.co/LiCUV9N9lS https://t.co/Wt0HA4XNOF"
#china,1.38E+18,"#███████ tried to wage ‘undeclared war’ against #███████ through cyberattacks, military chief Bipin Rawat says"
#china,1.38E+18,"@Mike_Fabricant @ChoiHungGuLeung How evil can the #███████ #███████ be?

.
#███████ well knew #███████ #███████ &amp; #███████ #███████ are evil brutal #███████ long ago..
#███████ still fighting,
For justice, #███████ &amp; democracy!

#███████
#███████
#███████?
#███████ #███████ #███████
#███████ https://t.co/6sfCjxk4cE"
#china,1.38E+18,Experience the international impact of the Philadelphia Orchestra’s historic 1973 trip to China -- a story of cultural reversals and a glimpse into the worldwide future of classical music. #███████ #███████ #███████ #███████ @BeethovenTheDoc https://t.co/761ckp4xA9
#china,1.38E+18,"@wan_sumawan @verasitytech @rjmark_verasity @microman2020 @cz_binance @binance @RAFAELA_RIGO_ $VRA ??????????????

Bring those #███████ $DOGE profits to the next gen esports platform and PATENTED ad industry disruptor $VRA @verasitytech 

$VRA is a low cap ?? that will be 3.00+ before you know it. 

DYOR not financial advice. 

#███████? #███████ #███████ $XRP $LINK $IOTA"
#china,1.38E+18,"@DavidAltonHL @ChoiHungGuLeung How evil can the #███████ #███████ be?

.
#███████ well knew #███████ #███████ &amp; #███████ #███████ are evil brutal #███████ long ago..
#███████ still fighting,
For justice, #███████ &amp; democracy!

#███████
#███████
#███████?
#███████ #███████ #███████
#███████ https://t.co/QaVuhvdxFf"
#vaccine,1.38E+18,"#███████ and fiction are both packaged in many ways, creating doubt &amp; #███████ in an already tense world and making a reasonably straightforward decision unnecessarily complicated. Taking the #███████ means a safer return to work. A good read from #███████. https://t.co/bjjC757NmA"
#inflation,1.38E+18,University of #███████ #███████ expectations.  1yr expectations highest since 2012 at 3.7%. https://t.co/jRvL9s4Stb
#covid,1.38E+18,"#███████? #███████? #███████? #███████? #███████? #███████
Daily Pahri News Bulletin -Friday, 16 April 2021
News Anchor: #███████ Qureshi

https://t.co/0qYGzF2IQo"
#covid,1.38E+18,"@erdocAA @fordnation 1/ So instead of @JustinTrudeau @CanadianPM mismanaging $$ since #███████ (like handing out $ to healthy youngsters to stay home &amp; live w/ their parents 4 eg); why didn’t Justin infusing those billions into our healthcare system, that’s held 2gether by duct tape as it is? .."
#covid,1.38E+18,"There are more ways to interact with technology than ever before. As #███████ has encouraged users to move away from physical touch interactions, #███████ technologies like voice have led the way. 

https://t.co/PMBvtsg7GA"
#vaccine,1.38E+18,"My feature on #███████ nationalism. As @WRicciardi put so well in few words: ""It's natural but stupid"".

+ takes from @UniofOxford's Uehiro Centre for Practical Ethics @ethicsinthenews 

#███████ #███████ @ResearchEurope 

https://t.co/hos3fVx2qc"
#vaccine,1.38E+18,Too bad we can't get #███████ to pay for our #███████ since #███████ had an #███████ to the #███████ $300 in quick care and ER visits. Any suggestions?
#vaccine,1.38E+18,Yeah. Got the #███████ #███████ at #███████ #███████. If only everything could work so smoothly. https://t.co/Bl5TlQ8lrK
#vaccine,1.38E+18,"Am I the only one to notice that miracle/quick #███████ was a Trump victory, until Xiden claimed Trump had no plan and it was his victory even as it rolled out just as Trump planned? 

Now we say the problems are Xiden's fault? Both listened to Fauci. So, do we blame science?"
#vaccine,1.38E+18,"One local #███████ is setting up pop-up clinics to help restaurant workers in Iowa, who have been struggling to make #███████ appointments. https://t.co/xrNLucW896"
#vaccine,1.38E+18,#███████ caught trying 2 bury evidence of his #███████ #███████ #███████ rollout https://t.co/eEKyWxBZr3 via @PalmerReport RDS left out #███████'s necessary data 2 carry out vax strategy b/c he feared #███████ getting evidence his rolling out vax 2 zip codes voting 4 him
#vaccine,1.38E+18,THREAD .. #███████ #███████ #███████ #███████ #███████ https://t.co/8zL6KM1ESn
#vaccine,1.38E+18,"Pfizer, Moderna Reportedly Decline J&amp;J Request to Study Clot Risk - #███████  https://t.co/RPaB5yZbKW"
#inflation,1.38E+18,"Outdoor String Lights ~ 28' ~ Over 50% Off (Code Below):

https://t.co/wyF2lzl7vw
*One Time Use ~ Limit 5*

#███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████

~60E24YLP~ https://t.co/PqytDeHGF9"
#inflation,1.38E+18,"One investor might say I have ""outperformed"" the stock market.  However your returns are denominated in USD, and your USD buys you less than it did the previous year.  Let that sink in a little.  Don't let them outsmart you.  #███████ #███████ #███████ #███████ #███████"
#inflation,1.38E+18,"After a year of unprecedented change and unknowns, there is finally optimism and a shred of pre-pandemic normalcy. Check out the latest market and economic updates in our 2021 Q1 Client Update: https://t.co/7p6Vt82MMh

#███████ #███████ #███████ #███████ @ChrisOsmondCFA https://t.co/393dWxCtWY"
#china,1.38E+18,"Product Name: Personalized Razor Keychain
Price: US$ 11.99
Item NO.: 8534172
Weight: 0.05 kg = 0.1102 lb = 1.7637 oz
Brand: VEASOON
Made of stainless steel
Brief design but great significance
https://t.co/2RnWEtGXXt
#███████ #███████ #███████ #███████ #███████ https://t.co/ejRS9THsZI"
#china,1.38E+18,@StuartKLau Well if it would be the other way around the same. But #███████ does not treat foreign companies the same. #███████
#china,1.38E+18,"#███████ really need to be careful of getting invovled in #███████. Chines can help it self and the rgion to respect will of the Afghan majority to govern the state and bring stability.

https://t.co/BtdyxZPyZo"
#china,1.38E+18,"The founder of #███████ #███████ exchange AEX, who only goes by 37 Degrees on Weibo and also owns bitcoin mining farms in China, said on the social media that ""big data centers in Xinjiang have basically all been shut down to conduct safety drills.""?

 https://t.co/ufkLYX6vfD"
#china,1.38E+18,@GuanGuanvideo @zlj517 And their fantasy presents quite meager an imagination so that they only fabricate mendacities on #███████ in accordance with what they did in their inglorious history.
#china,1.38E+18,"This is the original article: https://t.co/1cdYNAUEkU
Also, this information comes from someone who #███████ left a decade ago. #███████ https://t.co/PqziyxOedT"
#china,1.38E+18,"#███████ 
The Han Chinese think they are the only ""real"" Chinese and have no problem murdering and torturing anyone who isn't HAN.  #███████ #███████
#███████ 

https://t.co/qchGE529Ey"
#china,1.38E+18,"Wht Hse's Psaki Q&amp;A: Repeats have seen ""potentially destabilizing"" actions by China re Taiwan and expect subject to be addressed by Suga/Biden in news conference. #███████ #███████ #███████"
#china,1.38E+18,"Publication | #███████ : Shifting towards a medium-term perspective. For Christine Peltier, in the short term the authorities will continue to cautiously tighten #███████ and gradually scale back #███████ measures.
#███████#EcoEmerging
https://t.co/4unu3nzQae https://t.co/cS3jC8Rd5V"
#china,1.38E+18,"#███████ has taken increasingly coercive action to undercut democracy in #███████ and its actions in the Strait is potentially destabilizing, says @PressSec."
#biden,1.38E+18,Raising the minimum wage is cynical and WILL cost millions of jobs. Change my mind. #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████
