claim_id,claim_postal_code,claim_cause,claim_liable,claim_num_injured,claim_num_third_parties,claim_num_vehicles,claim_police,claim_language,claim_vehicle_id,claim_vehicle_brand,claim_vehicle_date_inuse,claim_vehicle_cyl,claim_vehicle_load,claim_vehicle_power,policy_holder_id,policy_holder_postal_code,policy_holder_form,policy_holder_year_birth,policy_holder_expert_id,driver_id,driver_postal_code,driver_year_birth,driver_expert_id,driver_vehicle_id,third_party_1_id,third_party_1_postal_code,third_party_1_vehicle_type,third_party_1_form,third_party_1_year_birth,third_party_1_vehicle_id,third_party_1_expert_id,third_party_2_id,third_party_2_postal_code,third_party_2_injured,third_party_2_vehicle_type,third_party_2_form,third_party_2_year_birth,third_party_2_country,third_party_2_vehicle_id,third_party_2_expert_id,repair_id,repair_postal_code,repair_form,repair_year_birth,repair_country,policy_date_start,policy_date_next_expiry,policy_date_last_renewed,policy_num_changes,policy_premium_100,policy_coverage_1000,policy_coverage_type,_third_party_3_withinfo,claim_date_interval,claim_date_occured_year,claim_date_occured_month,claim_hour_occured
12030,46,0,0,0,0,3,0,1.0,10880,28,71.0,1686.0,2.02,81.0,11258,46.0,1,42.0,2,10593,46.0,42.0,1,10880,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,179.0,1.0,1.0,0,8.0,24.0,47,,11,2017,1,
12099,70,2,1,0,1,3,0,1.0,2042,34,35.0,1968.0,3.0,75.0,24361,70.0,1,59.0,57,22910,70.0,59.0,32,2042,19694,70.0,2,3,,19235,0,0,,0,0,0,,0,0,0,309,71.0,2,,1,81.0,3.0,3.0,0,12.0,20.0,50,,5,2017,1,12.0
12352,67,1,0,0,0,3,0,1.0,1583,34,43.0,1598.0,1.65,66.0,9855,67.0,1,29.0,34,9284,67.0,29.0,26,1583,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,5.0,7.0,7.0,2,11.0,16.0,9,,0,2017,1,4.0
12701,70,1,0,0,1,5,1,1.0,30817,4,119.0,1870.0,2.8,59.0,22169,70.0,1,70.0,0,20800,70.0,70.0,0,30823,18020,48.0,0,2,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,36.0,0.0,0.0,0,5.0,18.0,63,,5,2017,1,
12733,24,1,0,0,0,3,1,2.0,2939,34,37.0,1984.0,1.67,162.0,2569,24.0,1,27.0,67,2410,24.0,27.0,52,2940,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,59.0,1.0,1.0,2,21.0,31.0,70,,3,2017,1,
12735,77,1,0,0,0,2,1,1.0,17825,27,75.0,1560.0,1.58,68.0,18031,77.0,1,31.0,57,16916,77.0,31.0,32,17827,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3069,17.0,2,,1,51.0,9.0,9.0,0,7.0,18.0,51,,1,2017,1,
12965,71,2,0,0,1,4,0,1.0,0,0,61.0,0.0,,,19061,71.0,0,44.0,0,4220,71.0,,19,0,5926,71.0,2,3,,347,0,0,,0,0,0,,0,0,0,0,,0,,0,,,,0,,,26,,5,2017,1,
13208,95,2,0,0,0,2,0,2.0,6859,19,47.0,1998.0,2.05,184.0,21194,96.0,1,40.0,31,19884,96.0,40.0,67,6860,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3149,96.0,2,,1,35.0,1.0,1.0,0,14.0,30.0,50,,0,2017,1,
13361,29,0,0,0,0,4,0,2.0,29433,18,36.0,1461.0,2.0,81.0,22751,29.0,1,33.0,0,24565,29.0,,55,29439,0,,0,0,,0,0,0,,0,0,0,,0,0,0,549,21.0,2,,1,11.0,1.0,1.0,0,10.0,20.0,9,,5,2017,1,
13506,40,2,0,0,1,4,0,1.0,14380,21,74.0,1199.0,1.64,55.0,14389,40.0,0,42.0,34,13502,40.0,42.0,26,14380,1067,40.0,2,1,,13555,0,0,,0,0,0,,0,0,0,0,,0,,0,40.0,8.0,8.0,1,8.0,10.0,22,,8,2017,1,
14220,36,1,0,0,0,3,1,2.0,10490,29,25.0,1968.0,2.2,100.0,1165,36.0,1,55.0,16,1097,36.0,55.0,6,10490,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3069,17.0,2,,1,1.0,11.0,11.0,1,5.0,35.0,12,,3,2017,1,
14867,39,0,0,0,0,1,0,2.0,0,0,,,,,6032,39.0,1,37.0,0,19362,12.0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,2761,39.0,2,,1,,,,0,,,26,,17,2017,1,
14882,56,0,0,0,0,4,0,1.0,9924,32,28.0,1685.0,2.05,100.0,6293,56.0,1,33.0,64,5969,56.0,33.0,37,9926,0,,0,0,,0,0,0,,0,0,0,,0,0,0,1531,50.0,2,,1,86.0,10.0,10.0,0,15.0,31.0,9,,2,2017,2,
14981,39,2,0,0,1,4,0,2.0,31268,2,97.0,1995.0,1.76,100.0,6379,35.0,1,30.0,70,6055,35.0,30.0,53,31274,19468,24.0,2,1,,3397,0,0,,0,0,0,,0,0,0,341,35.0,2,,1,1.0,11.0,11.0,1,5.0,,44,,1,2017,2,16.0
15009,84,2,1,0,1,4,0,2.0,14870,19,144.0,1998.0,2.6,63.0,3167,84.0,1,53.0,0,2998,84.0,30.0,20,14869,681,87.0,2,1,57.0,8046,0,0,,0,0,0,,0,0,0,250,84.0,2,,1,44.0,4.0,4.0,0,4.0,,14,,6,2017,1,
15014,25,5,0,0,0,2,0,2.0,3381,28,63.0,1956.0,2.39,81.0,10442,22.0,1,40.0,0,23421,22.0,,0,3383,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3679,22.0,2,,1,20.0,4.0,4.0,0,8.0,19.0,9,,0,2017,2,6.0
15152,16,1,0,0,0,2,1,1.0,4617,24,81.0,1124.0,1.4,44.0,13886,16.0,0,29.0,25,13055,16.0,29.0,7,4619,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,12.0,0.0,0.0,1,7.0,11.0,54,,2,2017,2,
15228,10,1,0,0,0,3,1,1.0,1417,4,33.0,1998.0,1.69,148.0,16721,10.0,1,,60,15695,10.0,,73,1417,0,,0,0,,0,0,0,,0,0,0,,0,0,0,1814,10.0,2,,1,46.0,2.0,2.0,2,11.0,20.0,40,,6,2017,1,
15579,68,6,0,0,0,3,0,1.0,2377,5,153.0,1398.0,1.65,71.0,4450,68.0,0,64.0,64,4205,68.0,64.0,37,2378,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,95.0,1.0,1.0,0,5.0,14.0,63,,8,2017,1,
15812,37,1,0,0,0,2,1,2.0,35624,5,38.0,1987.0,2.1,111.0,13015,37.0,1,59.0,2,12229,37.0,59.0,1,35631,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3069,17.0,2,,1,34.0,2.0,2.0,1,13.0,35.0,3,,3,2017,2,
16017,70,1,0,0,0,3,1,1.0,19076,13,103.0,1461.0,1.79,63.0,6995,70.0,1,31.0,57,6607,70.0,31.0,32,19078,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,79.0,9.0,9.0,0,7.0,12.0,54,,0,2017,2,
16221,77,1,0,0,0,2,1,1.0,12974,2,46.0,1995.0,1.93,105.0,13993,77.0,1,37.0,57,13150,77.0,37.0,32,12975,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,22.0,2.0,2.0,0,13.0,33.0,9,,3,2017,2,
16234,77,1,0,0,0,2,1,1.0,33503,27,35.0,1560.0,1.58,68.0,9053,77.0,1,46.0,57,8520,77.0,46.0,32,33510,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,77.0,7.0,7.0,4,5.0,20.0,54,,1,2017,2,
16474,69,2,1,0,1,3,1,1.0,26597,15,124.0,1870.0,2.07,95.0,19420,69.0,1,54.0,0,18220,69.0,54.0,0,26604,3555,69.0,5,3,,0,4,0,,0,0,0,,0,0,0,0,,0,,0,190.0,2.0,2.0,4,7.0,28.0,63,,4,2017,2,
16690,84,1,0,0,0,2,1,2.0,0,0,34.0,0.0,,0.0,7231,26.0,1,79.0,67,6836,26.0,79.0,52,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,10.0,2.0,2.0,3,4.0,18.0,12,,1,2017,2,
16699,20,1,0,0,0,3,1,2.0,1087,21,119.0,1390.0,1.61,59.0,12728,20.0,0,75.0,67,11947,20.0,75.0,52,1086,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3069,17.0,2,,1,248.0,6.0,6.0,1,5.0,13.0,51,,3,2017,2,
16997,77,2,1,0,1,3,0,1.0,3738,24,101.0,1560.0,2.04,66.0,3519,77.0,0,49.0,0,22819,,52.0,0,3740,24110,77.0,2,3,47.0,10336,0,0,,0,0,0,,0,0,0,1105,77.0,2,,1,231.0,9.0,9.0,0,6.0,15.0,3,,3,2017,2,
17051,35,2,1,0,1,2,0,2.0,33851,34,129.0,1198.0,1.57,47.0,7860,35.0,1,53.0,49,7416,35.0,53.0,48,33857,7752,35.0,0,3,53.0,0,44,0,,0,0,0,,0,0,0,4171,35.0,2,,1,29.0,7.0,7.0,0,3.0,,44,,6,2017,2,
17120,11,1,0,0,0,2,0,1.0,0,31,72.0,1598.0,1.54,82.0,7716,19.0,1,64.0,25,7284,19.0,64.0,7,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,2253,11.0,2,,1,30.0,6.0,6.0,0,12.0,26.0,50,,1,2017,2,
17355,40,1,0,0,0,3,0,1.0,3159,19,34.0,1997.0,2.25,100.0,305,44.0,0,54.0,34,285,44.0,54.0,26,3161,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,190.0,2.0,2.0,5,10.0,30.0,24,,1,2017,2,
17356,53,0,0,0,0,2,0,1.0,12713,4,46.0,1461.0,1.66,55.0,15735,53.0,0,25.0,30,14791,53.0,25.0,10,12714,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,42.0,6.0,6.0,0,15.0,15.0,9,,0,2017,2,
17449,20,2,0,0,1,2,0,2.0,5692,10,205.0,2148.0,2.0,100.0,15624,28.0,1,33.0,0,14688,28.0,33.0,0,5694,2593,26.0,2,2,,2364,0,0,,0,0,0,,0,0,0,531,28.0,2,,1,11.0,1.0,1.0,0,5.0,,44,,3,2017,2,
17725,71,1,0,0,0,2,1,1.0,4984,34,128.0,1896.0,2.03,77.0,17921,71.0,1,78.0,68,16819,71.0,78.0,38,4986,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,163.0,5.0,5.0,0,9.0,18.0,15,,0,2017,2,
18544,28,2,0,0,1,4,0,2.0,22956,34,153.0,2370.0,2.68,57.0,21986,28.0,1,57.0,46,20624,28.0,57.0,71,22962,14014,25.0,2,3,,23723,0,0,,0,0,0,,0,0,0,0,,0,,0,100.0,8.0,8.0,0,4.0,,44,,6,2017,2,
18930,85,2,0,0,1,2,0,2.0,27961,28,84.0,1248.0,1.89,55.0,14877,85.0,1,41.0,0,13963,85.0,41.0,0,27969,22592,88.0,2,2,,3145,0,0,,0,0,0,,0,0,0,4025,85.0,2,,1,213.0,3.0,3.0,0,10.0,,70,,4,2017,2,
19167,40,1,0,0,0,2,1,1.0,4142,31,69.0,1560.0,1.54,66.0,19589,40.0,0,34.0,2,18383,40.0,34.0,1,4144,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,45.0,1.0,1.0,0,12.0,17.0,19,,6,2017,2,
19185,20,2,0,0,1,5,0,2.0,0,0,51.0,,,,224,20.0,0,33.0,0,9082,12.0,,0,0,26113,20.0,2,3,,13412,0,0,,0,0,0,,0,0,0,0,,0,,0,,,,0,,,26,,5,2017,2,
19433,10,0,0,0,0,3,0,1.0,31560,29,52.0,1968.0,2.28,120.0,24622,30.0,1,43.0,0,8653,10.0,,7,31566,0,,0,0,,0,0,0,,0,0,0,,0,0,0,505,30.0,2,,1,145.0,11.0,11.0,1,15.0,44.0,40,,31,2017,2,
19570,87,2,0,0,1,3,0,2.0,10762,10,58.0,2143.0,3.05,100.0,10264,80.0,0,30.0,0,16695,80.0,,0,10762,24804,87.0,2,1,58.0,3372,0,0,,0,0,0,,0,0,0,2152,88.0,2,,1,51.0,9.0,9.0,0,13.0,31.0,9,,40,2017,1,8.0
20123,62,2,1,0,1,5,0,1.0,25017,31,40.0,1598.0,1.38,85.0,18373,55.0,1,37.0,64,17247,55.0,37.0,37,25025,17297,60.0,2,3,,15124,46,0,,0,0,0,,0,0,0,614,60.0,2,,1,16.0,11.0,11.0,0,12.0,29.0,50,,3,2017,3,21.0
20280,35,1,0,0,0,1,0,2.0,35402,0,81.0,2999.0,2.95,120.0,18529,35.0,1,59.0,0,17397,35.0,59.0,0,35409,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,157.0,11.0,11.0,0,12.0,31.0,9,,7,2017,3,
20599,28,0,0,0,1,4,0,2.0,13387,25,28.0,1598.0,2.5,77.0,7826,28.0,1,25.0,31,7380,28.0,25.0,67,13388,14162,28.0,1,1,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,4.0,3.0,3.0,0,17.0,17.0,9,,5,2017,3,
20601,91,0,1,0,0,3,0,2.0,0,0,36.0,2143.0,,,15605,91.0,1,30.0,31,9169,91.0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3973,21.0,2,,1,,,,0,,,26,,2,2017,3,
21016,46,1,0,0,1,3,0,1.0,13482,25,100.0,1248.0,1.66,51.0,25629,46.0,1,30.0,34,24095,46.0,30.0,26,13483,6870,46.0,0,3,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,14.0,10.0,10.0,0,6.0,15.0,51,,4,2017,3,
21092,35,2,1,0,1,2,0,2.0,13325,4,180.0,1870.0,,75.0,15017,39.0,0,46.0,0,14101,39.0,46.0,0,13326,14817,39.0,6,3,66.0,13777,0,0,,0,0,0,,0,0,0,0,,0,,0,57.0,9.0,9.0,2,4.0,,49,,11,2017,3,
21518,36,2,1,0,0,2,0,2.0,0,0,266.0,,,,17706,36.0,0,,2,19362,12.0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,764,36.0,2,,1,,,,0,,,26,,12,2017,3,
21552,35,0,0,0,0,2,0,2.0,10041,10,80.0,2143.0,2.37,150.0,17145,35.0,1,46.0,16,16098,35.0,46.0,6,10042,0,,0,0,,0,0,0,,0,0,0,,0,0,0,1587,32.0,2,,1,68.0,4.0,4.0,0,16.0,22.0,9,,12,2017,3,
21684,35,2,1,1,4,2,1,2.0,27730,27,63.0,1560.0,1.96,55.0,6967,35.0,1,44.0,0,6587,35.0,44.0,0,27738,12322,35.0,0,3,49.0,0,38,778,35.0,1,0,3,17.0,1,0,0,0,,0,,0,39.0,9.0,9.0,0,3.0,,44,0.0,3,2017,3,
21920,77,1,0,0,0,2,1,1.0,26642,10,35.0,1461.0,1.96,66.0,6522,77.0,1,47.0,57,6191,77.0,47.0,32,26649,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3069,17.0,2,,1,46.0,2.0,2.0,4,10.0,23.0,70,,1,2017,3,
22496,41,1,0,0,0,4,1,1.0,28085,2,80.0,1995.0,2.33,135.0,13063,10.0,1,41.0,0,20450,41.0,,26,28093,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,47.0,1.0,1.0,2,10.0,19.0,51,,4,2017,3,
22498,28,1,0,0,0,3,1,2.0,23270,24,70.0,1560.0,2.0,82.0,19537,28.0,1,,16,18336,28.0,,6,23277,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,46.0,2.0,2.0,0,11.0,24.0,9,,12,2017,3,
22500,16,1,0,0,0,3,1,1.0,17127,10,26.0,2143.0,2.07,120.0,18762,16.0,1,59.0,68,17620,16.0,59.0,38,17128,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,45.0,3.0,3.0,2,8.0,33.0,54,,0,2017,3,1.0
22501,88,0,1,0,1,2,1,2.0,13164,25,46.0,1248.0,,51.0,23998,85.0,0,29.0,0,22565,85.0,29.0,0,13165,21801,88.0,1,2,,0,0,0,,0,0,0,,0,0,0,863,85.0,2,,1,47.0,1.0,1.0,0,12.0,11.0,9,,2,2017,3,
22568,41,2,0,0,0,4,0,1.0,18452,28,77.0,1248.0,1.66,70.0,4846,41.0,0,39.0,61,4587,41.0,39.0,74,18454,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,0.0,12.0,12.0,0,8.0,,55,,0,2017,3,9.0
23751,75,2,0,0,1,3,0,1.0,12303,29,99.0,1968.0,1.94,100.0,3110,75.0,1,39.0,67,2945,75.0,39.0,52,12304,17796,75.0,2,3,,28809,0,0,,0,0,0,,0,0,0,222,75.0,2,,1,43.0,11.0,11.0,0,10.0,26.0,50,,2,2017,3,21.0
23859,70,4,0,1,0,4,0,1.0,0,18,80.0,996.0,1.25,50.0,24136,70.0,0,25.0,0,538,73.0,49.0,17,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,56.0,4.0,4.0,1,7.0,8.0,19,,3,2017,3,16.0
23861,66,0,0,0,0,3,0,1.0,24333,24,43.0,1560.0,1.98,55.0,21461,66.0,1,25.0,34,20140,66.0,25.0,26,24341,0,,0,0,,0,0,0,,0,0,0,,0,0,0,2048,49.0,2,,1,19.0,5.0,5.0,0,14.0,16.0,9,,4,2017,3,
24175,90,2,1,0,1,3,0,2.0,19287,34,262.0,1896.0,1.65,66.0,3213,90.0,1,54.0,9,3037,90.0,54.0,3,19289,3329,90.0,2,2,,17417,0,0,,0,0,0,,0,0,0,0,,0,,0,69.0,3.0,3.0,0,5.0,,44,,2,2017,3,
24540,13,5,0,0,0,2,1,1.0,22890,10,133.0,1998.0,1.62,120.0,8390,76.0,1,58.0,60,7920,76.0,58.0,73,22896,0,,0,0,,0,0,0,,0,0,0,,0,0,0,4343,75.0,2,,1,58.0,4.0,4.0,0,8.0,31.0,51,,3,2017,4,8.0
24658,17,0,0,0,0,3,0,1.0,0,0,29.0,,,,19778,17.0,1,50.0,0,14084,14.0,,19,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,1639,11.0,2,,1,,,,0,,,26,,7,2017,3,
24662,62,2,0,0,0,2,0,1.0,7271,27,174.0,1124.0,1.31,44.0,24183,62.0,1,29.0,57,22739,62.0,29.0,32,7273,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,5.0,7.0,7.0,1,8.0,,44,,2,2017,4,5.0
25071,55,0,1,0,0,3,0,1.0,0,0,43.0,2488.0,,,10808,68.0,1,26.0,0,9109,55.0,,37,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,2775,68.0,2,,1,,,,0,,,26,,5,2017,4,
25830,24,0,0,0,0,3,0,2.0,5151,15,24.0,1586.0,1.73,88.0,22770,24.0,1,59.0,46,21382,24.0,59.0,71,5153,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3998,22.0,2,,1,0.0,12.0,12.0,0,8.0,17.0,24,,1,2017,4,
25981,38,2,1,0,1,4,0,2.0,67,34,82.0,1896.0,1.77,66.0,594,38.0,1,37.0,0,556,38.0,37.0,0,67,1938,,2,2,,21750,44,0,,0,0,0,,0,0,0,814,38.0,2,,1,53.0,7.0,7.0,0,4.0,,44,,6,2017,4,
26393,77,1,0,0,0,3,1,1.0,23088,27,36.0,999.0,1.5,50.0,9123,77.0,0,29.0,0,4321,77.0,38.0,32,23095,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,12.0,0.0,0.0,0,7.0,13.0,3,,1,2017,4,
26789,35,2,0,0,1,3,0,2.0,20198,27,153.0,1398.0,1.67,50.0,25202,35.0,1,54.0,70,23688,35.0,54.0,53,20200,1933,35.0,2,3,,8460,0,0,,0,0,0,,0,0,0,0,,0,,0,131.0,1.0,1.0,0,6.0,32.0,51,,4,2017,4,
26800,53,1,0,0,0,3,1,1.0,10971,29,97.0,1968.0,2.12,100.0,23818,53.0,1,38.0,64,22375,53.0,38.0,37,10971,0,,0,0,,0,0,0,,0,0,0,,0,0,0,1344,51.0,2,,1,138.0,6.0,6.0,0,11.0,38.0,40,,1,2017,4,
26825,71,6,0,0,0,3,0,1.0,0,0,141.0,0.0,,0.0,9581,71.0,0,53.0,52,9016,71.0,53.0,31,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,3.0,9.0,9.0,0,1.0,4.0,12,,10,2017,4,
27050,60,1,0,0,0,3,1,1.0,1683,34,92.0,1896.0,2.25,55.0,23749,51.0,1,47.0,57,22305,51.0,47.0,32,1683,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,86.0,10.0,10.0,0,12.0,16.0,19,,1,2017,4,22.0
27752,85,2,0,0,1,2,0,2.0,12551,32,82.0,1396.0,1.71,66.0,364,85.0,1,64.0,0,346,85.0,64.0,0,12552,10505,85.0,2,3,,18500,0,0,,0,0,0,,0,0,0,2082,85.0,2,,1,291.0,12.0,12.0,0,8.0,14.0,38,,3,2017,4,
27939,14,0,0,0,0,2,0,1.0,33483,21,51.0,1598.0,1.77,66.0,9388,14.0,0,53.0,57,8833,14.0,53.0,32,33490,0,,0,0,,0,0,0,,0,0,0,,0,0,0,2556,14.0,2,,1,3.0,9.0,9.0,2,10.0,17.0,47,,5,2017,4,
27948,56,1,0,0,0,3,0,1.0,18253,29,149.0,1968.0,1.94,100.0,10009,56.0,1,37.0,64,9437,56.0,37.0,37,18255,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3115,50.0,2,,1,34.0,2.0,2.0,0,7.0,15.0,22,,0,2017,4,
27971,25,2,1,0,3,4,0,2.0,27853,2,117.0,2497.0,,160.0,7333,23.0,1,26.0,0,23498,25.0,55.0,0,27861,12240,25.0,1,1,50.0,0,0,1771,90.0,1,0,2,,1,0,0,0,,0,,0,9.0,3.0,3.0,2,3.0,,14,0.0,9,2017,4,
28054,21,1,0,0,0,1,1,2.0,31767,19,57.0,1242.0,1.49,44.0,15684,21.0,1,50.0,0,14742,21.0,50.0,0,31773,0,,0,0,,0,0,0,,0,0,0,,0,0,0,1216,29.0,2,,1,49.0,11.0,11.0,0,10.0,13.0,9,,1,2017,4,
28197,73,2,0,0,1,4,0,1.0,12838,25,167.0,1242.0,1.37,44.0,7758,70.0,0,72.0,1,7319,70.0,72.0,17,12839,1129,70.0,2,3,,30893,0,0,,0,0,0,,0,0,0,3407,70.0,2,,1,375.0,1.0,1.0,0,4.0,,44,,5,2017,4,
28204,35,0,0,0,0,4,1,2.0,19467,10,68.0,2143.0,2.17,150.0,12884,39.0,1,25.0,0,12090,39.0,49.0,66,19469,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,5.0,7.0,7.0,0,9.0,30.0,9,,4,2017,4,
28729,77,1,0,0,0,4,1,1.0,28240,24,71.0,1560.0,1.73,82.0,19601,77.0,0,28.0,1,18393,77.0,28.0,17,28248,0,,0,0,,0,0,0,,0,0,0,,0,0,0,162,77.0,2,,1,60.0,12.0,12.0,0,11.0,15.0,70,,4,2017,4,
28733,18,2,0,0,1,4,0,2.0,5927,34,103.0,1598.0,2.15,77.0,8862,18.0,0,39.0,0,19839,18.0,41.0,3,5929,10403,17.0,2,3,,21978,0,0,,0,0,0,,0,0,0,1397,19.0,2,,1,11.0,1.0,1.0,1,4.0,,55,,4,2017,4,
29056,37,0,0,0,0,2,0,2.0,7737,7,61.0,1685.0,1.94,85.0,19987,37.0,1,50.0,16,18765,37.0,50.0,6,7739,0,,0,0,,0,0,0,,0,0,0,,0,0,0,684,37.0,2,,1,116.0,12.0,12.0,1,11.0,28.0,32,,69,2017,2,
